connections,foreign_conns,foreign_conns2,ccf,conns_new,time,ccf_old,account_age,agegroup,browserID,days,usage1,usage2,usage3,usage4,usage5,target
11,1,1,0.327273,0,17,0.309091,20,0,9,1,0,0.647059,4.66667,0.0863095,0.722514,0.863095
5,1,4,0,0,18,0,20,0,10021,24,0,0.619048,19.3333,0.0980478,0.818064,1.04992
4,3,3,0.666667,0,16,0.666667,20,2,9,12,0.4,0.7,5,0.12,0.289697,1.2
1,1,1,0,1,8,0,21,0,0,24,0,0,24.5,0.134539,0.0407925,3.71668
1,1,1,0,0,15,0,21,1,9,3,0,0.666667,3.33333,0,0.555556,2.22222
1,0,1,0,0,19,0,20,2,9,14,0.0666667,0.0666667,15,0.15098,0.0627451,1.84314
2,0,2,0,1,11,0,19,1,9,2,0.5,0,3.75,0.166667,0.3,8
1,0,1,0,0,21,0,21,0,0,28,0.185185,0.111111,17,0.408148,0.38,4.08148
2,0,0,0,0,18,0,20,0,9,14,0.181818,0.181818,14,0.181818,0.181818,1.81818
3,1,3,0.333333,1,13,0,19,0,0,16,0.4,0.8,6.33333,0.65,0.855556,6.66667
2,0,0,0,0,13,0,20,0,0,18,0,0.0909091,16.3333,0,0.163465,1.54661
4,1,2,0.666667,2,12,1,21,0,0,2,0,1,4.4,0,0.6,0
2,0,0,0,1,12,0,20,0,9,1,0,0,1.5,0,0,0
17,17,17,0.117647,4,13,0.166667,19,0,0,28,0.814815,0.703704,23.6667,0.910802,0.590645,9.39815
4,3,3,0,1,14,0,20,2,9,2,0,0,2,0.0833333,0.25,0.833333
7,0,5,0.142857,3,10,0,21,0,9,19,0,0,23.1667,0.041979,0.0534733,0.41979
5,2,5,0.6,0,17,0.6,21,2,0,16,0.133333,0.533333,26.75,0.186828,0.412097,5.35484
1,0,1,0,0,20,0,20,1,9,5,0,1,7,0,1,7.08333
2,0,0,1,0,19,1,19,1,9,14,0,0,19.3333,0,0,1.42857
2,0,0,0,0,16,0,21,0,0,13,0,0.884615,19,0.015873,0.964896,4.12731
1,0,0,0,0,17,0,17,0,9,1,0,0,1,0,0,0
1,0,0,0,0,20,0,20,0,9,2,1,0,7,0.581349,0,6.59127
3,0,1,0.333333,0,16,0.333333,19,0,0,6,1,0,5.16667,0.875,0.0625,8.75
1,0,1,0,0,20,0,20,0,0,3,0,0,3.66667,0,0,0.625
3,0,2,0.333333,1,13,0,19,0,0,30,0.0714286,0,20,0.134921,0.0555556,3.13492
13,1,13,0.141026,1,11,0.151515,21,0,0,11,0.363636,0.272727,16,0.507576,0.203598,5.07576
2,0,2,1,0,19,1,20,0,0,1,0,0,1.5,0,0,0.192308
5,0,4,0.1,0,16,0.1,18,1,9,8,0,0,12.4,0.106053,0.0730263,1.64771
1,0,1,0,0,21,0,21,0,9,29,0,0,24.3333,0,0.0475427,0.208333
18,0,18,0.0980392,6,13,0.136364,21,0,0,7,0.142857,0.142857,19,0.0562982,0.149459,0.650701
2,0,1,0,0,16,0,20,1,9,10,0,0,14,0,0.0625,0.3125
7,6,7,0.047619,3,8,0,20,0,10021,26,0.176471,0.882353,16.1667,0.0294118,0.639618,2.52509
1,0,1,0,0,20,0,20,3,9,19,0.125,0.0625,19,0.125,0.0625,1.875
1,0,0,0,0,20,0,20,0,9,4,0,0,12,0.0277778,0,1.52778
9,1,9,0.222222,6,9,0.333333,20,0,9,3,0,0,5.83333,0.29798,0.335859,3.81313
6,0,4,0.4,1,15,0.6,21,2,0,28,0,0.517241,28,0.00666667,0.485385,0.531788
1,1,1,0,0,20,0,20,0,9,11,0,0,20,0,0,0
11,4,10,0.272727,1,13,0.311111,19,0,9,31,0.285714,0.0357143,27.6667,0.512614,0.234754,5.37085
2,1,2,0,1,7,0,18,1,9,1,0,1,4.4,0.0733333,0.893333,3.4
14,0,14,0.120879,4,10,0.166667,19,0,0,28,0.05,0.75,26.6667,0.153957,0.851645,7.25175
2,0,1,0,0,20,0,20,1,9,3,0,0,3.33333,0,0.375,2.5
2,0,2,0,0,17,0,20,0,9,3,0,0,3,0,0,2.5
4,0,4,0,0,18,0,20,1,0,6,0.2,0.2,10.6,0.0915152,0.332677,1.09697
1,0,1,0,0,19,0,19,3,0,29,0.8,0.1,18,0.563241,0.321877,5.91524
1,0,0,0,0,20,0,21,1,9,8,0.9,0.9,8,0.9,0.9,9
12,12,12,0.0454545,2,13,0.0444444,21,0,2,22,0.15,0.4,14.3333,0.3599,0.455912,3.599
1,0,0,0,0,21,0,21,2,9,1,0,1,4.5,0,0.5,5
4,0,4,0.666667,0,16,0.666667,18,2,9,7,0,0,13,0.166667,0.0833333,1.66667
1,0,1,0,0,9,0,19,0,9,3,0,0,7.25,0,0,0.555556
2,0,1,0,0,19,0,19,0,9,4,0,0,4,0,0,0
3,0,2,0,0,17,0,19,3,0,2,0,0,4.5,0.335859,0.030303,5.17677
8,6,6,0.142857,1,15,0.0952381,20,2,0,24,0.851852,0.185185,14.3333,0.802738,0.236378,8.40725
4,3,4,0.166667,1,13,0.333333,20,1,0,29,0.344828,0.965517,26.6667,0.248676,0.794856,2.75557
9,1,7,0.0277778,0,15,0.0277778,18,0,0,16,0.5625,0,14.1667,0.693223,0.0673077,7.60458
13,0,13,0.121795,13,0,0,21,0,0,27,0.586207,0.821429,14,0.293103,0.910714,3.44828
1,1,1,0,0,21,0,21,3,9,9,0.0769231,0,9,0.0769231,0,2.30769
48,0,2,0.702128,3,18,0.75202,20,1,0,20,0,1,16.3333,0,1,0
9,6,8,0.166667,2,11,0.190476,21,0,9,1,0.333333,0.037037,1,0.333333,0.037037,3.7037
1,0,0,0,0,20,0,20,0,9,1,0,1,1.66667,0,1,5
5,5,5,0,0,18,0,18,0,9,1,0,1,1,0,1,10
8,0,8,0.142857,0,16,0.142857,20,1,9,10,0.857143,0.714286,18.1667,0.505735,0.471718,5.05735
14,0,12,0.032967,5,13,0.0555556,20,0,0,23,0.05,0.15,17.1667,0.0583333,0.123913,0.583333
7,0,7,0,2,12,0,20,3,0,30,0,0.0645161,22.6667,0.0523524,0.112047,1.13509
12,1,5,0.0606061,5,10,0,20,1,0,5,0.5,0.333333,6.2,0.125,0.380952,4.6131
4,0,1,0.333333,1,10,0.333333,21,0,0,8,0.125,0.25,11.8,0.31,0.125794,5.93333
6,6,6,0.0666667,1,15,0.1,20,0,0,8,0.666667,0.833333,6.16667,0.430556,0.25,4.86111
1,0,1,0,0,20,0,20,2,9,9,0.625,0.25,9,0.625,0.25,6.25
4,0,0,0.333333,0,18,0.333333,20,1,9,3,0,0.75,3.5,0,0.541667,0
2,1,2,0,0,20,0,20,3,0,2,0.5,0.5,1.66667,0.75,0.25,7.5
2,0,2,0,0,15,0,21,0,9,1,0.25,0,1,0.25,0,2.5
1,0,0,0,0,19,0,20,2,9,7,0,0,7,0,0,0
1,1,1,0,0,17,0,17,0,0,7,0,0,5.66667,0.0666667,0.0444444,2.90801
2,1,1,0,0,16,0,19,3,9,6,0,0,15.6667,0.2,0.2,2
3,3,3,1,0,21,1,21,0,9,27,0,0,29,0.0340394,0.0342857,0.407061
2,2,2,0,0,20,0,20,0,9,6,0,0,18.3333,0.0196078,0.192577,0.196078
12,3,11,0.712121,0,17,0.712121,20,0,0,22,0.0909091,0.363636,21.3333,0.206163,0.51897,2.56863
10,1,10,0.0888889,3,12,0.142857,20,0,10021,1,0,1,5.8,0.247143,0.511429,2.61429
1,0,1,0,0,19,0,19,0,0,3,0.5,0.5,1.8,0.375,0.375,7.08333
6,0,6,0.333333,0,19,0.333333,20,3,9,31,0,0,28.5,0.163796,0.01192,1.7529
19,2,19,0.152047,0,13,0.152047,18,0,0,1,0,1,5.6,0.139706,0.985294,2.64706
2,2,2,1,0,18,1,21,0,9,3,0,1,2.8,0,0.666667,2.5
2,1,2,1,1,8,0,19,0,9,5,0.153846,0.0769231,11.1667,0.120121,0.108832,2.59046
1,0,0,0,0,21,0,21,0,9,13,0,0.909091,17.5,0,0.49478,0.976891
1,0,1,0,0,20,0,20,0,0,19,0,0,16.6667,0.0192308,0.0128205,0.192308
1,1,1,0,0,21,0,21,0,0,8,0.857143,0,8,0.857143,0,10
1,0,1,0,0,18,0,18,0,9,7,0,0,12.1667,0.170554,0.037037,1.70554
2,1,1,1,0,21,1,21,2,9,7,0.142857,0,13.3333,0.338528,0.127273,3.85498
14,2,3,0.032967,0,13,0.032967,20,0,9,2,0,0,5,0,0.145833,1.04167
2,0,2,0,0,14,0,19,1,9,3,0,0,3.75,0,0.03125,0.5
2,0,0,1,0,11,1,17,0,9,20,0,0,15.8333,0,0.0511962,1.76918
23,1,7,0.055336,9,12,0.0604396,21,1,0,30,0.75,1,28,0.623626,0.706883,6.43468
3,0,3,0.333333,0,20,0.333333,21,1,0,8,0.142857,0.142857,7,0.047619,0.194444,1.26984
3,1,2,0,0,15,0,20,0,9,2,0,0,18.2,0.628889,0.11901,6.36889
2,0,2,0,0,14,0,21,0,9,1,0,1,7,0.0833333,0.583333,4.16667
3,0,3,0,0,16,0,19,0,0,26,0.208333,0,25.3333,0.139097,0.0128205,1.58542
1,0,0,0,0,18,0,18,3,9,5,0,0,3,0,0,0.909091
6,0,6,0.2,2,11,0,19,0,0,6,0,0,3.5,0,0.1875,1.25
7,2,5,0.47619,1,14,0.466667,18,2,9,9,0.2,0.133333,3.4,0.0733333,0.11303,1.27879
4,0,4,0,1,13,0,20,1,9,10,1,0.571429,4.5,1,0.592857,10
3,0,3,0.333333,0,17,0.333333,21,0,9,24,0.1,0.05,15,0.236797,0.0166667,2.36797
18,5,16,0.163399,5,11,0.128205,20,0,0,6,0,0.666667,8.33333,0,0.715319,0.634058
4,1,2,0.5,0,16,0.5,18,3,9,5,0.166667,0,4.4,0.233333,0,2.33333
4,4,4,0,0,16,0,21,2,0,5,0,0.1,11.6,0.0626984,0.105317,1.22513
2,0,2,1,0,19,1,21,2,9,3,0,0,3,0,0,10
8,0,2,0.0357143,0,19,0.0357143,21,0,9,8,0.25,0.25,8,0.25,0.25,2.5
7,2,6,0.0952381,3,12,0.166667,21,3,0,30,0.310345,0.0689655,16.3333,0.113868,0.0114943,1.41695
6,5,5,0,0,15,0,19,0,0,4,0,1,13.8333,0.0257937,0.734127,1.70004
2,0,1,0,1,8,0,20,0,9,8,0.857143,0.857143,22.5,0.62911,0.954727,6.68636
2,1,2,1,0,19,1,19,0,9,9,1,0.714286,9,0.75,0.544643,7.5
2,2,2,0,0,17,0,20,0,9,15,0,0.105263,9,0,0.0526316,0
2,2,2,0,1,14,0,20,2,0,6,0,0.5,3.75,0.291667,0.791667,4.16667
4,0,4,0.166667,3,11,0,21,2,0,7,0,0,16,0.151111,0.192593,1.71852
1,0,0,0,0,20,0,20,1,10021,2,1,0,3.33333,0.333333,0,4
32,4,20,0.0362903,7,14,0.0466667,21,0,3,30,0.714286,1,21,0.455018,0.841466,5.02637
5,3,5,0.3,1,13,0.333333,21,0,9,3,0,0,4.5,0,0,2.02778
47,0,35,0.162262,20,10,0.224615,21,1,0,31,0.0322581,1,27.1667,0.0624751,0.894987,9.21802
3,2,2,0,0,15,0,20,0,9,1,0,0,6.66667,0.409091,0.340909,5.22727
7,0,4,0.333333,2,11,0.4,19,0,0,21,0.7,0,21.6667,0.561919,0.0342105,5.61919
7,5,6,0,0,17,0,20,2,9,3,0,0,14,0.0396825,0.115079,0.734127
1,0,1,0,0,20,0,21,0,9,1,1,0,1,1,0,10
4,3,4,0.333333,1,9,0,21,0,9,23,0,0,20.6,0.258578,0.317402,3.41912
3,0,1,0.666667,0,20,0.666667,20,2,9,24,0,0,23.8333,0.0224138,0.0279693,0.224138
1,0,0,0,0,10,0,21,1,9,5,0,0.4,7,0,0.505556,2.33333
3,1,3,0.333333,0,20,0.333333,20,2,0,28,0,0,14,0,0.0952381,0.952381
10,6,6,0.6,1,15,0.694444,20,0,0,17,0,1,18.6667,0.015873,0.861467,0.529902
3,1,1,0,1,13,0,20,1,9,4,0.666667,0.666667,6.16667,0.777778,0.861111,7.77778
13,0,9,0.429487,6,12,0.714286,21,1,10021,15,0,0.214286,16.3333,0,0.348134,2.02583
2,1,2,0,0,18,0,19,2,0,1,0,0.5,1,0,0.25,2.5
18,0,9,0.137255,3,14,0.161905,19,1,0,26,0.5,0.791667,21.3333,0.327071,0.726091,3.64868
2,0,2,0,0,19,0,21,2,9,1,0,0,13.3333,0,0,0.144928
7,0,7,0.0952381,0,15,0.0952381,20,0,3,1,1,1,2,0.28,0.84,4.8
17,0,14,0.139706,6,11,0.181818,21,0,0,31,0,0.677419,23.1667,0,0.555035,6.59293
4,3,4,0.5,1,11,0.333333,20,0,0,29,1,0,13.1667,0.945556,0.0355556,9.45556
1,1,1,0,1,6,0,20,0,9,1,0,0,1,0,0,0
1,0,0,0,1,5,0,20,2,0,7,0,0,4.33333,0,0,0.714286
1,0,1,0,0,21,0,21,2,9,10,0,0.142857,10,0,0.142857,0.714286
1,1,1,0,0,21,0,21,0,9,5,0,0.25,5,0,0.25,10
2,0,2,0,0,13,0,20,0,9,2,0,0.5,2.5,0,0.75,0
6,1,3,0,1,16,0,21,3,9,12,0.0769231,0.0769231,6.6,0.0426573,0.113566,0.531837
2,1,2,0,1,11,0,21,0,9,31,0,0.16129,23.5,0.0341517,0.222947,3.26957
16,2,13,0.0166667,1,15,0.0190476,19,2,9,29,0,0.258065,23.1667,0.0305374,0.484173,3.73859
4,0,4,0.333333,3,8,0,21,1,9,4,0.0666667,0.533333,3.33333,0.0240079,0.191508,0.512302
128,4,29,0.136319,108,6,0.268421,20,0,0,25,0,0.615385,13.8333,0.111289,0.783405,1.11289
5,0,5,0.9,0,19,0.9,20,0,9,4,0,0,12.1667,0,0.0921569,1.29902
1,0,1,0,0,19,0,20,1,0,8,0.166667,0.333333,4.5,0.166667,0.333333,1.66667
7,0,7,0.380952,0,19,0.380952,19,0,0,3,0,0.5,3,0,0.5,5
7,0,5,0.285714,0,18,0.285714,20,1,0,3,0,0,5.6,0.286667,0.18,2.86667
3,3,3,0,0,18,0,20,0,9,7,0.5,0.583333,7,0.5,0.583333,5
12,0,12,0.0909091,2,12,0.133333,20,1,0,31,0,0.551724,28.1667,0,0.715955,0.529861
1,0,1,0,0,21,0,21,0,9,6,0,0.333333,6,0,0.333333,0
14,13,14,0.0274725,1,16,0.025641,20,2,0,11,0.758621,0.758621,7.83333,0.793324,0.738948,8.59195
2,0,2,0,0,18,0,21,2,0,1,1,0,1.5,0.444444,0,4.44444
1,0,0,0,0,8,0,20,0,9,8,0,0,13,0,0,0
7,3,6,0.761905,0,18,0.761905,21,2,0,31,0.9,0.0333333,28.8333,0.807398,0.223519,9.32095
1,0,0,0,0,18,0,21,0,9,7,0,0,9.33333,0,0,0.175439
3,0,2,0,0,17,0,20,3,9,1,0,0,3,0.025,0,0.25
1,1,1,0,0,19,0,20,1,9,3,0,0,5.8,0.383333,0.113333,4.83333
1,0,1,0,0,21,0,21,0,9,30,0,0,24,0.0138889,0,0.138889
3,0,0,0.333333,1,10,1,21,0,9,1,0,0,1.66667,0,0,1.66667
4,0,1,0.333333,1,17,0.666667,21,0,9,2,0,0.5,3.4,0.1,0.466667,1.33333
7,5,6,0.0952381,0,17,0.0952381,20,0,9,3,0,0.5,3,0,0.452381,0.285714
1,1,1,0,0,20,0,20,0,9,8,0,0,3.66667,0,0.0175439,0.350877
2,0,2,0,0,18,0,21,2,9,2,0,0,2.5,0,0.5,2.5
3,0,3,0.333333,0,17,0.333333,21,1,0,25,0,0.227273,25.8333,0.0104167,0.188215,0.104167
1,1,1,0,0,11,0,19,0,9,5,0,0,3,0,0.25,5
1,0,0,0,0,19,0,20,0,9,2,1,1,2,1,1,10
3,0,3,0.333333,0,21,0.333333,21,0,9,7,0,0.333333,7,0,0.333333,0
1,0,1,0,0,20,0,20,3,9,8,0.285714,0,8,0.285714,0,2.85714
6,0,5,0.133333,1,15,0.2,21,0,9,12,0,0.285714,6.25,0.05,0.254762,0.5
8,5,8,0.142857,0,15,0.142857,20,0,9,13,1,0.833333,17.3333,0.916667,0.694444,9.16667
4,1,3,0.166667,0,18,0.166667,21,0,0,16,0,0,16.1667,0.0969251,0.0401515,0.969251
2,2,2,1,0,16,1,21,2,9,2,0.5,0,2,0.25,0,2.5
3,3,3,0.333333,0,15,0.333333,21,0,9,4,0,1,5,0,0.933333,0.666667
2,0,1,1,0,17,1,20,1,3,3,0,0,5.5,0.0833333,0.0166667,0.833333
10,3,4,0.0444444,0,17,0.0444444,18,3,9,7,0,0,7,0,0,1.25
1,0,1,0,0,14,0,20,1,9,1,0,0,9.6,0.114667,0.572889,6.61778
1,0,1,0,0,19,0,19,0,0,18,0,0,15.5,0.0384615,0.0384615,0.384615
5,4,5,0.1,0,10,0.1,20,2,9,1,0,0,2.5,0,0.0625,0.625
19,9,14,0.0584795,8,8,0.0444444,21,1,0,27,0.44,0.84,25.3333,0.328624,0.798323,7.88193
1,1,1,0,0,20,0,20,2,9,23,0.0322581,0,19.3333,0.0318205,0,0.560653
1,0,1,0,0,19,0,19,1,9,1,1,0,3,0.5,0,5
6,1,6,0,1,14,0,20,1,9,5,0,0.666667,4.4,0.24,0.713333,4.13333
1,1,1,0,0,19,0,19,0,9,2,0,0,2,0,0,5
20,1,13,0.0263158,0,19,0.0263158,21,0,0,12,0,0.2,15.6667,0,0.208208,0.0925926
2,0,2,1,0,20,1,20,1,0,3,0,0.5,6.66667,0,0.47619,1.66667
26,2,10,0.363077,0,20,0.36,21,1,0,1,0,0,8.4,0,0.3,1.88889
1,1,1,0,0,20,0,20,2,0,1,0,0,4.66667,0,0.0277778,1.11111
3,0,2,0.333333,0,15,0.333333,19,2,9,2,0,0,6.6,0.404762,0.0119048,4.04762
3,0,3,1,0,19,1,21,0,0,1,0,0,5,0,0,6.66667
142,30,75,0.106662,63,10,0.149302,19,0,0,28,0,1,24,0,1,8.71385
6,0,6,0.133333,2,13,0.333333,20,1,9,2,0,0,16.5,0,0.0539989,0.362587
1,1,1,0,0,21,0,21,0,9,1,0,0,1,0,0,10
2,0,2,0,0,19,0,21,0,9,4,0,1,4,0,1,5
4,0,3,1,0,17,1,18,0,9,1,0,0,5,0.125,0,1.25
3,1,3,1,1,13,1,21,1,3,9,0,0.142857,5.5,0.5,0.571429,5
1,1,1,0,0,20,0,20,0,9,2,1,0,2,1,0,10
1,1,1,0,0,19,0,19,1,0,23,0,0,24.1667,0.0557471,0.0444444,0.557471
1,0,1,0,0,18,0,19,1,9,1,0,0,13.6667,0,0.0119048,0.119048
5,2,5,0.5,3,7,0,18,0,0,31,0.0645161,0.258065,18.3333,0.0107527,0.12264,0.16129
24,0,21,0.0688406,0,17,0.0652174,19,0,0,10,0,0,12.6667,0.0730159,0.17619,0.730159
2,0,1,1,0,17,1,19,0,0,3,1,1,9.5,0.870106,0.830159,9.03175
7,0,0,0.333333,2,10,0.3,20,1,0,20,0,0.789474,14.1667,0.156769,0.674123,8.38172
7,4,6,0.285714,3,9,0.333333,18,1,9,17,0.466667,0.133333,19,0.487213,0.0518519,4.87213
3,1,2,0.666667,0,17,0.666667,19,0,9,15,0,0.0769231,22.1667,0.419285,0.585842,4.67563
7,0,6,0.333333,0,18,0.333333,19,2,9,11,0,0.5,11,0,0.5,2
4,2,4,0.166667,0,18,0.166667,20,0,10021,4,0,0,8.83333,0.337831,0.402646,3.49735
1,0,1,0,0,21,0,21,0,9,5,0,0,5,0,0,0
30,11,28,0.00229885,1,16,0.00246305,20,0,9,4,0,0.25,3,0,0.583333,1.66667
2,0,2,0,1,10,0,21,2,9,27,0,0,29,0.0479327,0.00595238,0.479327
2,0,0,1,0,16,1,18,2,9,25,0.166667,0,22.5,0.0633333,0.0633333,3.2881
1,1,1,0,0,12,0,19,0,0,18,0,0,12.8333,0,0,2.2004
29,3,29,0.00985222,2,17,0.011396,20,2,0,9,0,0.375,8,0.282913,0.199335,3.41246
92,0,13,0.18538,10,13,0.195423,20,1,0,22,0,0.647059,20.3333,0.170632,0.772819,2.11073
1,0,1,0,0,21,0,21,1,9,2,0,1,2,0,1,10
7,0,3,0.190476,0,17,0.190476,20,1,0,23,0,0.26087,18.6667,0.00980392,0.532302,3.72465
1,1,1,0,0,20,0,20,0,9,5,0,0.333333,5,0,0.333333,3.33333
7,5,7,0.428571,1,16,0.4,20,0,0,31,0.37931,0.241379,21.8333,0.417438,0.174665,6.145
3,0,1,1,0,18,1,19,0,9,7,0,0,12.25,0.241667,0.0583333,2.41667
7,3,3,0.285714,0,11,0.285714,18,0,0,15,0.714286,0.857143,8,0.22619,0.254762,2.92857
12,0,9,0.257576,5,12,0.428571,20,0,9,9,0.571429,0.857143,6.2,0.114286,0.388095,2.87302
2,0,1,0,0,17,0,19,1,0,2,0.5,0.5,3,0.633333,0.233333,6.33333
3,2,3,0,1,11,0,21,2,0,14,0.25,0.833333,10.3333,0.571083,0.494909,5.71083
2,0,2,0,0,17,0,20,0,9,3,0,0,4,0,0,1.25
18,2,7,0.183007,1,17,0.198529,19,0,9,4,0.25,0.5,7,0.147727,0.560606,6.11111
5,1,2,0.1,1,15,0.166667,21,1,9,1,0,0.2,8,0.0864672,0.332682,2.05881
2,1,2,1,0,19,1,20,1,0,17,0.0625,0.875,14.5,0.0104167,0.191288,2.01705
12,6,12,0.0757576,1,15,0.111111,20,0,3,3,0.5,0.5,8,0.278571,0.678571,2.78571
9,0,9,0.527778,0,18,0.527778,19,1,9,2,1,0,2.75,0.506944,0.354167,5.06944
3,0,3,0,0,15,0,19,0,9,27,0,0.407407,25.3333,0.0111111,0.354101,0.270833
1,1,1,0,0,18,0,21,2,0,5,0,0,17.6667,0,0,0
9,0,9,0.0833333,8,4,0,18,1,0,27,0,1,16,0.11,0.597692,5.19487
2,0,2,1,0,18,1,20,2,9,3,0,0.666667,10.6667,0,0.365079,0
1,0,1,0,0,17,0,17,1,9,2,0,1,2,0,1,10
1,0,1,0,0,9,0,21,0,9,2,0,0,1.4,0,0,10
3,0,2,0.666667,0,20,0.666667,21,0,0,5,0,0.25,5,0,0.25,2.5
3,0,3,0.333333,1,7,0,20,1,0,24,0,0.608696,19.5,0,0.55938,2.56777
1,0,1,0,1,3,0,20,1,9,5,0,0.05,3.33333,0,0.00833333,0.151515
1,0,1,0,0,19,0,19,0,3,2,0,0,3.33333,0,0.166667,3.66667
9,0,7,0.333333,4,9,0.2,21,1,0,25,0,0.8,25.6667,0.0138889,0.892172,4.71484
1,0,1,0,0,21,0,21,0,9,2,0,0.75,2,0,0.75,0
12,0,6,0.0757576,2,13,0.0666667,19,0,9,3,0,1,9,0.51394,0.482092,6.09178
3,0,3,0.333333,0,14,0.333333,18,0,0,30,0,0.111111,16.5,0.216991,0.194986,2.16991
6,2,2,0.2,0,19,0.2,21,0,0,27,0.0434783,0,21.5,0.0408085,0.0247902,0.568268
6,0,6,0.133333,5,3,0,18,0,9,31,0.0333333,0.533333,12.6667,0.0166667,0.6,6.33333
1,1,1,0,0,20,0,20,1,9,3,0,1,3,0,1,0
2,1,1,0,0,13,0,20,2,0,26,0.16129,0.0967742,27,0.230169,0.0351767,2.78479
3,1,3,1,0,21,1,21,2,9,17,0,0,22.6,0.0388889,0,0.388889
2,0,0,0,0,17,0,20,2,9,12,0.0909091,0.272727,8.5,0.0181818,0.472929,6.44646
6,0,5,0.333333,0,16,0.333333,19,0,9,3,0.6,0,3.16667,0.720502,0,7.20502
31,1,4,0.396774,9,13,0.525974,20,0,9,16,0,0.933333,21.6667,0.00641026,0.917845,0.392977
1,0,1,0,0,21,0,21,1,9,3,0,0,3,0,0,0
2,0,1,0,1,9,0,19,2,9,10,0.555556,0.555556,5.16667,0.29335,0.179714,3.6069
11,4,10,0.181818,3,12,0.339286,20,1,0,23,0.8,0.8,14.6667,0.776108,0.548837,8.4334
7,0,7,0.047619,2,14,0,20,1,0,20,0.0952381,0.428571,16,0.113678,0.18105,1.13678
1,0,1,0,0,17,0,21,0,9,14,0,0,15.8333,0,0.00724638,0
3,0,3,0,0,17,0,20,1,10021,3,1,1,11.8,0.2,0.536849,5.6042
8,2,5,0.357143,0,19,0.357143,21,0,9,19,0,0.352941,19.5,0.035575,0.37061,2.72457
7,1,4,0.714286,0,17,0.714286,20,1,9,17,0.0588235,0.0588235,19.6667,0.0442992,0.466915,4.63045
