age,workclass,education,occupation,capital.gain,capital.loss,native.country,salaries,jobsatisfaction,male,female
35,Private, Assoc-voc, Other-service,0,0,Puerto-Rico,26612,9,1,NA
41,Private, HS-grad, Adm-clerical,0,0,United-States,20928,4,1,NA
30,Private, HS-grad, Machine-op-inspct,5013,0,United-States,18729,9,1,NA
30,Private, Bachelors, Sales,2407,0,United-States,22285,14,1,NA
32,NA, 7th-8th,NA,0,0,NA,32461,0,1,NA
48,Private, HS-grad, Transport-moving,0,0,United-States,30243,15,1,NA
42,Private, Doctorate, Prof-specialty,0,0,United-States,74144,10,1,NA
29,Private, Some-college, Tech-support,0,0,United-States,28740,15,1,NA
36,Private, HS-grad, Craft-repair,0,0,United-States,23052,4,1,NA
28,Private, Some-college, Adm-clerical,0,0,United-States,30181,3,NA,1
53,Private, HS-grad, Adm-clerical,0,0,United-States,78777,2,NA,1
49,Self-emp-inc, Some-college, Exec-managerial,0,0,United-States,61414,6,1,NA
25,NA, Some-college,NA,0,0,United-States,32805,4,1,NA
19,Private, Some-college, Prof-specialty,0,0,United-States,27667,10,1,NA
31,Private, Bachelors, Sales,0,0,United-States,28086,14,NA,1
29,Self-emp-not-inc, Bachelors, Sales,0,0,United-States,67981,15,1,NA
23,Private, Some-college, Machine-op-inspct,0,0,United-States,27631,11,1,NA
79,Private, Some-college, Prof-specialty,0,0,United-States,38841,13,1,NA
27,Private, HS-grad, Other-service,0,0,Mexico,26309,10,1,NA
40,Private, Assoc-acdm, Adm-clerical,0,0,United-States,22795,3,1,NA
67,NA, 10th,NA,0,0,United-States,27527,0,1,NA
18,Private, 11th, Other-service,0,0,United-States,14255,9,NA,1
31,Local-gov, 7th-8th, Farming-fishing,0,0,United-States,18002,7,1,NA
18,Private, HS-grad, Sales,0,0,United-States,40635,12,1,NA
52,Private, Bachelors, Other-service,0,0,Cuba,38049,10,1,NA
46,Private, HS-grad, Other-service,0,0,United-States,16282,8,NA,1
59,Private, HS-grad, Sales,0,0,United-States,29754,11,1,NA
44,Private, HS-grad, Craft-repair,14344,0,United-States,76152,5,NA,1
53,Private, HS-grad, Sales,0,0,United-States,40593,13,NA,1
49,Local-gov, HS-grad, Protective-serv,0,0,United-States,73111,10,1,NA
33,Private, Masters, Prof-specialty,0,0,United-States,38776,14,1,NA
30,Private, 9th, Sales,0,0,United-States,14608,10,1,NA
43,Federal-gov, Doctorate, Prof-specialty,0,0,United-States,59602,11,NA,1
57,Private, Assoc-voc, Prof-specialty,0,0,United-States,17209,9,1,NA
37,Private, Some-college, Craft-repair,0,0,United-States,35242,3,NA,1
28,Private, Some-college, Machine-op-inspct,0,0,United-States,48641,10,NA,1
30,Private, HS-grad, Sales,0,1573,NA,35903,11,NA,1
34,Local-gov, Bachelors, Protective-serv,0,0,United-States,61212,14,1,NA
29,Local-gov, Some-college, Handlers-cleaners,0,0,United-States,27006,10,1,NA
48,Self-emp-not-inc, Doctorate, Prof-specialty,0,1902,United-States,77399,12,1,NA
37,Private, Some-college, Sales,0,0,United-States,76999,14,1,NA
48,Private, Assoc-acdm, Exec-managerial,0,0,England,25576,5,NA,1
20,Federal-gov, HS-grad, Other-service,0,0,United-States,48607,9,1,NA
76,Private, Masters, Exec-managerial,0,0,United-States,71701,7,1,NA
44,Private, Bachelors, Exec-managerial,15024,0,United-States,57999,5,1,NA
47,Self-emp-not-inc, Masters, Prof-specialty,0,0,United-States,37524,10,NA,1
20,Private, Some-college, Tech-support,0,0,United-States,23568,15,NA,1
29,Private, HS-grad, Craft-repair,0,0,United-States,43484,4,1,NA
32,Self-emp-inc, HS-grad, Craft-repair,7688,0,United-States,76523,6,1,NA
17,NA, 10th,NA,34095,0,United-States,41430,0,NA,1
30,Private, 11th, Handlers-cleaners,0,0,United-States,25167,10,1,NA
31,Local-gov, HS-grad, Adm-clerical,0,0,United-States,16425,2,NA,1
42,Private, HS-grad, Handlers-cleaners,0,0,United-States,34774,8,1,NA
24,Private, Bachelors, Sales,0,0,United-States,21809,14,1,NA
38,Private, Prof-school, Prof-specialty,0,0,United-States,66321,7,1,NA
56,Self-emp-not-inc, HS-grad, Other-service,0,1887,Canada,80093,9,1,NA
28,Private, Some-college, Sales,4064,0,United-States,38060,13,NA,1
36,Private, HS-grad, Machine-op-inspct,0,0,United-States,37910,6,NA,1
53,Private, 9th, Handlers-cleaners,0,0,United-States,28742,7,1,NA
56,Self-emp-inc, Some-college, Sales,0,0,United-States,48452,11,1,NA
49,Local-gov, Assoc-voc, Craft-repair,0,0,United-States,60720,5,1,NA
55,Private, Some-college, Sales,0,0,United-States,41308,12,1,NA
22,Private, HS-grad, Craft-repair,0,0,United-States,28972,4,1,NA
21,Private, Some-college, Other-service,0,0,United-States,24466,10,NA,1
40,Private, Bachelors, Exec-managerial,0,0,United-States,31949,4,1,NA
30,Private, Bachelors, Exec-managerial,0,0,Germany,36769,4,1,NA
29,State-gov, Bachelors, Prof-specialty,0,0,United-States,59712,12,1,NA
19,Private, Some-college, Other-service,0,0,United-States,23450,7,1,NA
47,Private, Bachelors, Exec-managerial,0,0,United-States,65153,3,NA,1
20,Private, Some-college, Adm-clerical,0,1719,United-States,24664,4,NA,1
31,Private, Assoc-acdm, Adm-clerical,0,0,United-States,61070,2,1,NA
35,NA, HS-grad,NA,0,0,United-States,35181,3,1,NA
39,Private, Some-college, Craft-repair,0,0,United-States,37614,0,1,NA
28,Private, Assoc-acdm, Sales,0,0,United-States,30045,15,NA,1
24,Private, HS-grad, Other-service,0,1762,United-States,32368,9,NA,1
38,Self-emp-not-inc, HS-grad, Craft-repair,4386,0,United-States,55645,5,1,NA
37,Private, Bachelors, Sales,0,0,United-States,37506,14,1,NA
46,Private, Assoc-acdm, Tech-support,0,0,United-States,42545,15,NA,1
38,Federal-gov, Masters, Prof-specialty,0,0,Iran,56437,12,1,NA
43,Self-emp-not-inc, HS-grad, Craft-repair,0,0,United-States,35143,2,1,NA
27,Private, Assoc-voc, Adm-clerical,0,0,United-States,37792,3,NA,1
20,Private, Some-college, Sales,0,0,United-States,27948,12,1,NA
49,Private, Some-college, Craft-repair,0,0,United-States,65371,1,1,NA
61,Self-emp-inc, HS-grad, Craft-repair,0,0,United-States,31304,2,1,NA
27,Private, Some-college, Sales,0,0,United-States,15986,15,NA,1
19,Private, Some-college, Other-service,0,0,Mexico,38799,7,1,NA
45,Private, Assoc-voc, Prof-specialty,0,1564,United-States,52621,13,NA,1
70,Private, Some-college, Tech-support,0,0,United-States,47147,13,1,NA
31,Private, HS-grad, Transport-moving,0,0,United-States,23706,15,NA,1
22,Private, Some-college, Other-service,0,0,United-States,28402,11,1,NA
36,Private, HS-grad, Other-service,0,0,United-States,21848,7,NA,1
64,Private, 11th, Craft-repair,0,2179,United-States,37339,8,1,NA
43,NA, Some-college,NA,0,0,United-States,28335,1,NA,1
47,Local-gov, Some-college, Adm-clerical,0,0,Mexico,21742,1,NA,1
34,Private, HS-grad, Adm-clerical,0,0,United-States,37485,2,NA,1
33,Private, Bachelors, Exec-managerial,0,0,Philippines,38024,4,NA,1
21,Private, HS-grad, Craft-repair,0,0,United-States,36901,4,1,NA
52,NA, HS-grad,NA,0,0,United-States,61470,0,1,NA
48,Private, HS-grad, Craft-repair,0,0,United-States,32841,4,1,NA
23,Private, Bachelors, Handlers-cleaners,0,0,United-States,27665,6,1,NA
71,Self-emp-not-inc, Some-college, Sales,0,1816,United-States,26074,13,1,NA
29,Private, HS-grad, Craft-repair,0,0,United-States,30351,5,1,NA
42,Private, Bachelors, Other-service,0,0,United-States,37062,9,1,NA
68,NA, 1st-4th,NA,0,0,United-States,37765,7,NA,1
25,Private, HS-grad, Other-service,0,0,United-States,24843,7,NA,1
44,Self-emp-inc, Masters, Exec-managerial,0,0,United-States,27968,4,NA,1
28,Private, HS-grad, Exec-managerial,0,0,England,33696,7,NA,1
45,Self-emp-not-inc, Masters, Sales,0,0,United-States,66359,11,1,NA
36,Private, Some-college, Other-service,0,0,Mexico,32302,10,NA,1
39,Federal-gov, Assoc-acdm, Exec-managerial,0,0,United-States,46657,6,1,NA
46,State-gov, Masters, Protective-serv,0,0,United-States,35306,12,1,NA
18,Private, 11th, Handlers-cleaners,0,0,United-States,36688,5,1,NA
66,Local-gov, Assoc-voc, Prof-specialty,0,0,United-States,30904,11,NA,1
27,Private, HS-grad, Other-service,0,1980,United-States,20201,9,1,NA
28,State-gov, HS-grad, Protective-serv,0,0,United-States,27667,15,1,NA
51,Private, Some-college, Sales,0,1977,United-States,65426,12,1,NA
27,Private, Bachelors, Craft-repair,0,0,United-States,24332,2,1,NA
28,State-gov, Bachelors, Prof-specialty,0,0,United-States,70088,9,1,NA
27,Private, HS-grad, Sales,0,0,United-States,27651,12,NA,1
21,Private, HS-grad, Craft-repair,0,0,United-States,29980,6,1,NA
34,Private, HS-grad, Handlers-cleaners,0,0,United-States,19170,10,1,NA
18,Private, HS-grad, Other-service,0,0,United-States,40763,11,1,NA
33,Private, Bachelors, Prof-specialty,0,0,United-States,23649,12,1,NA
44,Local-gov, Some-college, Exec-managerial,0,0,United-States,75973,4,1,NA
43,Private, Some-college, Adm-clerical,0,0,United-States,16991,0,NA,1
30,Private, Some-college, Craft-repair,0,0,United-States,30600,2,1,NA
40,Private, 7th-8th, Machine-op-inspct,0,0,Mexico,76395,7,1,NA
37,Federal-gov, Some-college, Adm-clerical,0,0,United-States,76924,0,1,NA
34,Private, HS-grad, Adm-clerical,0,0,United-States,25775,4,1,NA
41,Self-emp-not-inc, Bachelors, Exec-managerial,0,0,United-States,35652,8,NA,1
53,NA, Bachelors,NA,0,0,United-States,43675,3,NA,1
31,Private, Masters, Prof-specialty,0,0,United-States,18161,11,NA,1
58,State-gov, Doctorate, Prof-specialty,0,0,United-States,69971,13,1,NA
38,Private, Some-college, Machine-op-inspct,0,0,United-States,29065,5,NA,1
24,Private, Some-college, Machine-op-inspct,0,0,United-States,30345,9,1,NA
41,Local-gov, Bachelors, Craft-repair,0,0,United-States,24422,0,1,NA
47,Private, Some-college, Tech-support,0,0,United-States,26376,15,1,NA
41,Federal-gov, Bachelors, Tech-support,0,0,United-States,35900,15,1,NA
23,Private, 5th-6th, Transport-moving,0,0,Mexico,21204,15,1,NA
36,Private, Some-college, Craft-repair,0,0,United-States,40309,6,1,NA
40,Federal-gov, Masters, Exec-managerial,14084,0,United-States,66483,5,NA,1
35,Private, Masters, Prof-specialty,7298,0,United-States,50890,12,1,NA
24,Self-emp-not-inc, HS-grad, Sales,0,0,United-States,14425,11,1,NA
26,Private, Masters, Prof-specialty,0,1876,United-States,33171,8,NA,1
19,NA, HS-grad,NA,0,0,Italy,40178,0,1,NA
51,Private, Bachelors, Exec-managerial,0,0,United-States,56352,4,1,NA
42,Local-gov, Some-college, Prof-specialty,0,1340,United-States,27095,10,NA,1
37,State-gov, HS-grad, Adm-clerical,0,0,United-States,24227,1,NA,1
18,Private, 11th, Sales,0,0,United-States,28744,15,NA,1
36,Private, Bachelors, Other-service,7298,0,United-States,65318,11,1,NA
35,Private, HS-grad, Craft-repair,0,0,United-States,21174,5,1,NA
58,Self-emp-inc, HS-grad, Sales,15024,0,United-States,59690,13,NA,1
17,Private, 11th, Sales,0,0,United-States,44670,13,NA,1
44,Local-gov, HS-grad, Transport-moving,0,0,United-States,44311,15,1,NA
37,Private, HS-grad, Craft-repair,0,0,United-States,55862,2,1,NA
35,Private, Some-college, Sales,0,0,United-States,29005,11,NA,1
60,Private, HS-grad, Craft-repair,0,0,United-States,25207,2,1,NA
54,Self-emp-inc, 7th-8th, Machine-op-inspct,0,0,United-States,67305,3,1,NA
37,Private, Bachelors, Exec-managerial,0,0,United-States,71406,4,1,NA
50,Private, Assoc-acdm, Sales,0,0,United-States,25222,15,NA,1
38,Private, Bachelors, Sales,0,0,Poland,25792,14,1,NA
45,Private, Bachelors, Prof-specialty,0,0,United-States,37236,14,1,NA
25,Private, 10th, Craft-repair,0,0,United-States,35587,2,1,NA
31,Private, Some-college, Handlers-cleaners,0,0,United-States,28550,8,1,NA
64,NA, 1st-4th,NA,0,0,United-States,30092,2,1,NA
90,Private, HS-grad, Other-service,0,2206,United-States,34882,11,1,NA
54,Private, HS-grad, Adm-clerical,0,0,United-States,24166,2,1,NA
53,Local-gov, Preschool, Machine-op-inspct,0,0,United-States,37075,12,NA,1
18,Private, HS-grad, Sales,0,0,United-States,23520,15,NA,1
60,NA, 10th,NA,0,0,United-States,35103,1,NA,1
66,Self-emp-not-inc, HS-grad, Farming-fishing,1409,0,United-States,30613,7,1,NA
75,Private, Assoc-voc, Adm-clerical,0,0,Columbia,33635,6,NA,1
65,Private, HS-grad, Adm-clerical,0,0,United-States,31008,2,NA,1
35,Private, 11th, Transport-moving,3674,0,United-States,45029,12,1,NA
41,Private, HS-grad, Sales,0,0,United-States,19809,14,NA,1
25,Private, Some-college, Adm-clerical,0,0,United-States,45412,2,1,NA
33,Private, Some-college, Craft-repair,0,0,United-States,34332,0,NA,1
28,Private, Prof-school, Prof-specialty,0,0,United-States,66423,9,1,NA
59,State-gov, HS-grad, Other-service,0,0,United-States,41523,8,1,NA
40,State-gov, Some-college, Adm-clerical,0,0,United-States,20946,1,NA,1
41,Private, Bachelors, Exec-managerial,0,0,Iran,59882,7,1,NA
38,Local-gov, Masters, Exec-managerial,0,0,United-States,68653,3,1,NA
23,Private, HS-grad, Transport-moving,0,0,United-States,30859,15,1,NA
40,Private, Bachelors, Prof-specialty,0,0,United-States,68080,15,1,NA
41,Self-emp-not-inc, HS-grad, Other-service,0,0,United-States,32615,7,NA,1
24,State-gov, Assoc-acdm, Protective-serv,0,0,United-States,39804,9,1,NA
20,NA, Some-college,NA,0,0,United-States,32535,0,1,NA
38,Private, Some-college, Craft-repair,0,1741,United-States,24157,4,1,NA
56,Private, HS-grad, Adm-clerical,0,0,NA,13178,3,1,NA
58,Private, HS-grad, Adm-clerical,0,0,United-States,73721,0,1,NA
32,Private, HS-grad, Other-service,0,0,United-States,21611,10,NA,1
40,Private, Assoc-acdm, Tech-support,0,1977,United-States,58669,15,1,NA
45,Private, HS-grad, Adm-clerical,0,0,NA,17085,1,1,NA
41,Private, Prof-school, Prof-specialty,0,0,United-States,62987,11,NA,1
42,Private, Bachelors, Adm-clerical,0,0,United-States,27340,6,NA,1
59,Local-gov, 10th, Other-service,0,0,United-States,28650,9,NA,1
19,Local-gov, Some-college, Adm-clerical,0,0,United-States,30789,4,1,NA
58,Private, Some-college, Transport-moving,0,0,United-States,29663,15,1,NA
42,Self-emp-not-inc, HS-grad, Farming-fishing,0,0,Cambodia,66639,2,1,NA
20,Private, HS-grad, Other-service,0,0,United-States,9165,12,NA,1
32,Private, HS-grad, Other-service,0,0,United-States,37593,8,NA,1
45,Private, Assoc-voc, Exec-managerial,0,0,United-States,27052,6,NA,1
50,Private, 7th-8th, Craft-repair,0,0,United-States,17918,5,1,NA
36,Private, Bachelors, Prof-specialty,0,0,United-States,32638,13,NA,1
45,Private, HS-grad, Sales,0,0,United-States,38915,13,1,NA
17,Private, 11th, Other-service,0,0,United-States,30225,10,1,NA
59,Private, Some-college, Sales,4064,0,United-States,35577,11,1,NA
26,Private, 11th, Craft-repair,0,0,United-States,33832,2,1,NA
37,Self-emp-inc, Some-college, Exec-managerial,0,0,Thailand,68868,6,1,NA
19,NA, Some-college,NA,0,0,Canada,28143,2,1,NA
64,Private, HS-grad, Exec-managerial,0,0,United-States,67471,6,1,NA
33,Private, Bachelors, Prof-specialty,0,0,United-States,41875,9,NA,1
33,Private, HS-grad, Craft-repair,0,0,United-States,74664,8,NA,1
61,Private, HS-grad, Exec-managerial,0,0,United-States,74589,5,1,NA
17,Private, 9th, Other-service,1055,0,United-States,18509,10,1,NA
50,Self-emp-not-inc, Masters, Farming-fishing,2407,0,United-States,46185,6,1,NA
27,Local-gov, Masters, Prof-specialty,0,0,United-States,11387,8,1,NA
30,Private, HS-grad, Prof-specialty,0,0,United-States,31025,8,NA,1
43,Private, HS-grad, Handlers-cleaners,0,0,United-States,28069,4,1,NA
44,Private, Some-college, Craft-repair,7298,0,United-States,55019,5,1,NA
35,Private, Some-college, Exec-managerial,0,0,United-States,25980,1,NA,1
25,Private, Some-college, Tech-support,0,0,United-States,32092,10,NA,1
24,Private, Some-college, Machine-op-inspct,7298,0,United-States,69135,8,NA,1
22,Private, Bachelors, Prof-specialty,0,0,Germany,35077,11,NA,1
42,Local-gov, Some-college, Craft-repair,5178,0,United-States,56056,2,1,NA
34,Private, Assoc-acdm, Sales,0,0,United-States,26033,12,NA,1
60,Private, Bachelors, Prof-specialty,0,0,United-States,21851,13,NA,1
21,Private, HS-grad, Handlers-cleaners,0,0,United-States,41212,8,1,NA
57,Federal-gov, Masters, Sales,15024,0,United-States,67312,10,1,NA
41,Private, Prof-school, Prof-specialty,0,0,United-States,66001,12,1,NA
50,Private, Some-college, Other-service,0,0,United-States,40646,10,1,NA
25,Private, Bachelors, Exec-managerial,0,0,United-States,34019,8,NA,1
50,Private, 7th-8th, Craft-repair,0,0,Ecuador,46265,4,1,NA
36,Private, Bachelors, Prof-specialty,0,0,United-States,24598,10,1,NA
31,Private, HS-grad, Prof-specialty,0,0,United-States,26692,9,NA,1
29,Local-gov, Bachelors, Protective-serv,0,0,United-States,19847,13,1,NA
21,Private, Some-college, Sales,0,0,United-States,39310,13,1,NA
27,Private, Bachelors, Tech-support,0,0,United-States,29848,15,NA,1
65,Private, HS-grad, Transport-moving,0,0,United-States,27813,13,1,NA
37,Self-emp-inc, Bachelors, Sales,0,0,United-States,27590,13,NA,1
39,NA, Masters,NA,3464,0,NA,28009,1,NA,1
24,Private, HS-grad, Craft-repair,0,0,United-States,39538,4,1,NA
38,Private, HS-grad, Sales,0,0,United-States,23993,13,1,NA
48,Private, Bachelors, Adm-clerical,7688,0,United-States,73807,1,1,NA
21,Private, Some-college, Other-service,0,0,United-States,17333,6,NA,1
31,Private, HS-grad, Transport-moving,0,0,United-States,71201,15,1,NA
55,Private, HS-grad, Sales,4386,0,United-States,71312,15,1,NA
24,Private, Some-college, Adm-clerical,0,0,Laos,35938,3,NA,1
43,Private, HS-grad, Adm-clerical,0,0,United-States,31140,0,NA,1
26,Private, Assoc-acdm, Tech-support,0,0,United-States,27863,15,1,NA
46,Private, Assoc-acdm, Prof-specialty,0,0,United-States,26398,10,NA,1
35,Private, Assoc-acdm, Adm-clerical,0,0,United-States,64475,1,1,NA
41,Self-emp-inc, Some-college, Farming-fishing,0,0,United-States,70674,7,1,NA
26,Private, Bachelors, Sales,0,0,United-States,37942,15,1,NA
34,Private, Masters, Exec-managerial,7298,0,Taiwan,65088,11,1,NA
19,NA, Some-college,NA,0,0,United-States,31302,0,NA,1
36,Self-emp-not-inc, Bachelors, Prof-specialty,0,0,United-States,61159,8,NA,1
22,Private, Some-college, Sales,0,0,United-States,27168,11,1,NA
24,Private, Some-college, Machine-op-inspct,0,0,United-States,23869,4,1,NA
77,Self-emp-not-inc, Some-college, Sales,0,0,United-States,28276,14,1,NA
22,Private, 5th-6th, Machine-op-inspct,0,0,Mexico,46982,8,NA,1
29,Private, Some-college, Tech-support,0,0,United-States,31903,12,NA,1
62,Private, HS-grad, Other-service,0,0,United-States,30468,8,NA,1
39,Self-emp-not-inc, HS-grad, Exec-managerial,0,0,United-States,29750,2,1,NA
43,Private, Some-college, Craft-repair,0,1485,United-States,38534,5,1,NA
35,Private, HS-grad, Transport-moving,0,0,United-States,30672,14,1,NA
29,Private, 11th, Exec-managerial,0,0,United-States,29226,5,NA,1
76,Self-emp-not-inc, Masters, Craft-repair,0,0,United-States,40075,8,1,NA
63,Self-emp-not-inc, HS-grad, Farming-fishing,0,0,United-States,24721,7,1,NA
23,NA, Assoc-voc,NA,0,0,United-States,30053,0,NA,1
43,Private, Some-college, Prof-specialty,0,1887,United-States,73214,11,NA,1
58,Self-emp-not-inc, HS-grad, Handlers-cleaners,0,0,United-States,27289,7,1,NA
66,Private, HS-grad, Transport-moving,2050,0,United-States,17893,15,1,NA
41,Private, Some-college, Craft-repair,0,0,United-States,38960,3,1,NA
26,Private, Bachelors, Adm-clerical,0,0,United-States,17750,3,1,NA
47,Private, Assoc-voc, Other-service,0,0,United-States,32300,9,1,NA
55,Local-gov, 10th, Adm-clerical,0,0,United-States,12690,1,1,NA
53,Private, HS-grad, Transport-moving,0,0,United-States,35802,15,1,NA
17,Private, 5th-6th, Other-service,0,0,Mexico,37322,11,1,NA
30,Private, HS-grad, Craft-repair,0,0,United-States,19713,3,1,NA
49,Private, Masters, Prof-specialty,0,0,United-States,34302,15,1,NA
19,Private, HS-grad, Sales,0,0,Haiti,25660,15,1,NA
45,Private, HS-grad, Other-service,0,0,United-States,29327,10,1,NA
26,Private, Assoc-acdm, Sales,0,0,United-States,15810,10,1,NA
38,Private, Assoc-voc, Craft-repair,7298,0,United-States,59895,3,1,NA
36,State-gov, HS-grad, Protective-serv,7298,0,United-States,70364,10,1,NA
33,Private, HS-grad, Farming-fishing,0,0,United-States,40077,4,1,NA
22,State-gov, Some-college, Protective-serv,0,0,United-States,34668,12,NA,1
43,Self-emp-not-inc, Bachelors, Sales,0,0,United-States,33637,15,1,NA
67,NA, 11th,NA,0,0,United-States,16386,0,1,NA
30,NA, Assoc-voc,NA,0,0,United-States,23531,1,NA,1
56,Private, Assoc-acdm, Other-service,0,0,Iran,26854,9,1,NA
31,Private, Bachelors, Prof-specialty,0,0,United-States,32993,12,1,NA
33,Private, Bachelors, Exec-managerial,0,0,United-States,66816,4,1,NA
26,Private, HS-grad, Other-service,0,0,United-States,42225,7,1,NA
33,Private, Bachelors, Exec-managerial,0,0,United-States,65839,5,1,NA
46,Local-gov, 11th, Transport-moving,0,0,United-States,33520,14,1,NA
59,NA, Bachelors,NA,0,0,United-States,65097,1,1,NA
38,Federal-gov, HS-grad, Adm-clerical,0,0,United-States,71444,6,1,NA
65,Private, 11th, Other-service,0,0,United-States,27359,6,1,NA
40,Private, Assoc-voc, Tech-support,0,0,United-States,72039,13,1,NA
42,Private, HS-grad, Adm-clerical,0,0,United-States,25307,1,NA,1
26,Self-emp-not-inc, 9th, Craft-repair,0,0,Portugal,35526,4,1,NA
36,Private, 10th, Other-service,0,0,United-States,32843,8,NA,1
62,Private, Masters, Prof-specialty,0,0,United-States,61519,9,1,NA
43,Private, Bachelors, Transport-moving,0,0,United-States,43898,15,1,NA
43,Private, Bachelors, Exec-managerial,0,1564,United-States,66423,7,1,NA
22,Private, HS-grad, Sales,0,0,United-States,22014,13,1,NA
28,Private, HS-grad, Craft-repair,0,0,United-States,33215,5,1,NA
56,Self-emp-not-inc, Some-college, Sales,0,0,United-States,34018,13,1,NA
22,Private, Assoc-acdm, Sales,0,0,United-States,26798,14,NA,1
57,Private, Bachelors, Exec-managerial,0,0,United-States,66427,3,NA,1
39,Private, HS-grad, Sales,0,0,United-States,33724,13,NA,1
26,Federal-gov, Some-college, Adm-clerical,0,0,United-States,35842,5,NA,1
17,Private, 11th, Other-service,0,0,United-States,22418,8,1,NA
40,State-gov, Assoc-voc, Machine-op-inspct,0,0,United-States,66223,8,1,NA
45,Private, HS-grad, Machine-op-inspct,0,0,United-States,33587,8,1,NA
44,Private, HS-grad, Craft-repair,0,0,United-States,21551,1,1,NA
20,Local-gov, Some-college, Adm-clerical,0,0,United-States,22599,4,NA,1
